         10473134 function calls (10377090 primitive calls) in 10.609 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:990(create_module)
      9/4    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap_external>:993(exec_module)
       33    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
      367    0.000    0.000    0.001    0.000 <frozen ntpath>:179(splitroot)
      108    0.000    0.000    0.001    0.000 <frozen ntpath>:236(split)
      108    0.000    0.000    0.001    0.000 <frozen ntpath>:268(basename)
      108    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
      384    0.000    0.000    0.001    0.000 <frozen ntpath>:51(normcase)
       65    0.000    0.000    0.000    0.000 <frozen ntpath>:581(abspath)
       32    0.000    0.000    0.002    0.000 <frozen ntpath>:771(relpath)
     2356    0.002    0.000    0.004    0.000 <frozen os>:709(__getitem__)
     1470    0.000    0.000    0.000    0.000 <frozen os>:732(__iter__)
     2356    0.000    0.000    0.001    0.000 <frozen os>:777(check_str)
     2356    0.001    0.000    0.002    0.000 <frozen os>:783(encodekey)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:1(<module>)
       44    0.000    0.000    0.000    0.000 __init__.py:10(__getattr__)
        5    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        3    0.000    0.000    0.000    0.000 __init__.py:1369(disable)
     1169    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
        3    0.000    0.000    0.000    0.000 __init__.py:1776(getEffectiveLevel)
      366    0.000    0.000    0.002    0.000 __init__.py:179(sub)
     1169    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
        4    0.000    0.000    0.000    0.000 __init__.py:226(compile)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        3    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
      370    0.000    0.000    0.001    0.000 __init__.py:280(_compile)
       91    0.000    0.000    0.000    0.000 __init__.py:339(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:343(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:373(_FuncPtr)
        4    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
